codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,estrias_externas,estrias_internas,estrias_lado_rueda,estrias_lado_caja,longitud_semieje,longitud_cardan,longitud_punta_eje,diametro_asiento,diametro_asiento_lado_rueda,diametro_jh,diametro_junta_homocinetica,diametro_jh_deslizante,altura_jh,altura_punta_eje,diametro_circunferencia_agujeros,rosca_agujeros,diametro_rodamiento,diametro_menor,abs,posicion_seguro,seguro,lado,peso,dimensiones
ECA-BM0006,Eje Cardanico,,,,,,Longitud Cardan: 1237,,Longitud Cardan: 1237,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0006-BM-2034-02.jpg,https://www.dauer.com.ar/producto/eca-bm0006/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1237,,,,,,,,,,,,,,,,,,
ECA-BM0007,Eje Cardanico,,,,,,Longitud Cardan: 1401,,Longitud Cardan: 1401,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0007-BM-2037-02.jpg,https://www.dauer.com.ar/producto/eca-bm0007/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1401,,,,,,,,,,,,,,,,,,
ECA-BM0008,Eje Cardanico,,,,,,Longitud Cardan: 1485,,Longitud Cardan: 1485,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0008-BM-2001-02.jpg,https://www.dauer.com.ar/producto/eca-bm0008/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1485,,,,,,,,,,,,,,,,,,
ECA-BM0009,Eje Cardanico,,,,,,Longitud Cardan: 1416,,Longitud Cardan: 1416,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0009-BM-2044-02.jpg,https://www.dauer.com.ar/producto/eca-bm0009/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1416,,,,,,,,,,,,,,,,,,
ECA-BM0010,Eje Cardanico,,,,,,Longitud Cardan: 717,,Longitud Cardan: 717,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0010-BM-1003-02.jpg,https://www.dauer.com.ar/producto/eca-bm0010/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,717,,,,,,,,,,,,,,,,,,
ECA-BM0011,Eje Cardanico,,,,,,Longitud Cardan: 736,,Longitud Cardan: 736,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0011-BM-1007-02.jpg,https://www.dauer.com.ar/producto/eca-bm0011/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,736,,,,,,,,,,,,,,,,,,
ECA-BM0012,Eje Cardanico,,,,,,Longitud Cardan: 705,,Longitud Cardan: 705,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0012-BM-1002-02.jpg,https://www.dauer.com.ar/producto/eca-bm0012/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,705,,,,,,,,,,,,,,,,,,
ECA-BM0012-1,Eje Cardanico,,,,,,Longitud Cardan: 735,,Longitud Cardan: 735,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0013-BM-1005-02.jpg,https://www.dauer.com.ar/producto/eca-bm0013/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,735,,,,,,,,,,,,,,,,,,
ECA-BM0015,Eje Cardanico,,,,,,Longitud Cardan: 712,,Longitud Cardan: 712,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-BM0015-BM-1016-02.jpg,https://www.dauer.com.ar/producto/eca-bm0015/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,712,,,,,,,,,,,,,,,,,,
ECA-CH0001,Eje Cardanico,,,,,,Longitud Cardan: 1934,,Longitud Cardan: 1934,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-CH001-CH-2004-02.jpg,https://www.dauer.com.ar/producto/eca-ch0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1934,,,,,,,,,,,,,,,,,,
ECA-FD0001,Eje Cardanico,,,,,,Longitud Cardan: 1982,,Longitud Cardan: 1982,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-FD0001-FD-2022-02.jpg,https://www.dauer.com.ar/producto/eca-fd0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1982,,,,,,,,,,,,,,,,,,
ECA-HO0001,Eje Cardanico,,,,,,Longitud Cardan: 2101,,Longitud Cardan: 2101,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-HO0001-HO-2004-02.jpg,https://www.dauer.com.ar/producto/eca-ho0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2101,,,,,,,,,,,,,,,,,,
ECA-HO0002,Eje Cardanico,,,,,,Longitud Cardan: 2056,,Longitud Cardan: 2056,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-HO0002-HO-2001-02.jpg,https://www.dauer.com.ar/producto/eca-ho0002/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2056,,,,,,,,,,,,,,,,,,
ECA-HO0003,Eje Cardanico,,,,,,Longitud Cardan: 2064,,Longitud Cardan: 2064,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-HO0003-HO-2003-02.jpg,https://www.dauer.com.ar/producto/eca-ho0003/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2064,,,,,,,,,,,,,,,,,,
ECA-NI0001,Eje Cardanico,,,,,,Longitud Cardan: 2217,,Longitud Cardan: 2217,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-NI0001-NI-2009-02.jpg,https://www.dauer.com.ar/producto/eca-ni0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2217,,,,,,,,,,,,,,,,,,
ECA-RA0001,Eje Cardanico,Dodge,Ram 1500,2013 - 2023,5.7 V8,,Parámetro: Valor,Estria 1: 30,Estria 2: -,Longitud Cardan: 828,,DAUER,Parámetro: Valor,Estria 1: 30,,,,,,,,,,,,,,,,,,,,,,,,
ECA-RA0001,Eje Cardanico,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 30,Estria 2: -,Longitud Cardan: 828,,DAUER,Parámetro: Valor,Estria 1: 30,,,,,,,,,,,,,,,,,,,,,,,,
ECA-TO0001,Eje Cardanico,,,,,,Longitud Cardan: 2270,,Longitud Cardan: 2270,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-TO0001-TO-2003-02.jpg,https://www.dauer.com.ar/producto/eca-to0001/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,2270,,,,,,,,,,,,,,,,,,
ECA-VW0001,Eje Cardanico,Volkswagen,Amarok,2010 - 2023,2.0 TDI,,Parámetro: Valor,Estria 1: 32,Estria 2: 34,Longitud Cardan: 646,,DAUER,Parámetro: Valor,Estria 1: 32,,,,,,,,,,,,,,,,,,,,,,,,
ECA-VW0001,Eje Cardanico,Volkswagen,Amarok,2017 - 2023,3.0 TDI,,Parámetro: Valor,Estria 1: 32,Estria 2: 34,Longitud Cardan: 646,,DAUER,Parámetro: Valor,Estria 1: 32,,,,,,,,,,,,,,,,,,,,,,,,
ECA-VW0001,Eje Cardanico,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 32,Estria 2: 34,Longitud Cardan: 646,,DAUER,Parámetro: Valor,Estria 1: 32,,,,,,,,,,,,,,,,,,,,,,,,
ECA-VW0002,Eje Cardanico,Volkswagen,Amarok,2010 - 2023,2.0 TDI,,Longitud Cardan: 1967,,Longitud Cardan: 1967,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-VW0002-VW2002-02.jpg,https://www.dauer.com.ar/producto/eca-vw0002/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1967,,,,,,,,,,,,,,,,,,
ECA-VW0002,Eje Cardanico,Marca,Modelo,Año,Versión,,Longitud Cardan: 1967,,Longitud Cardan: 1967,https://www.dauer.com.ar/wp-content/uploads/2026/04/FICHA-ECA-VW0002-VW2002-02.jpg,https://www.dauer.com.ar/producto/eca-vw0002/,DAUER,Detalles del Producto,Eje Cardanico,,,,,,1967,,,,,,,,,,,,,,,,,,
EI-0001,Eje Intermedio,,,,,,Parámetro: Valor,Estria 1: 34,Estria 2: 34,Longitud Eje: 420,Lado: Derecho,DAUER,,Parámetro: Valor,,,,,,,,,,,,,,,,,,,,,,,,
EI-0002,Eje Intermedio,,,,,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 378.5,Lado: Derecho,DAUER,,Parámetro: Valor,,,,,,,,,,,,,,,,,,,,,,,,
EI-0003,Eje Intermedio,,,,,,Parámetro: Valor,Estria 1: 16,Estria 2: 29,Longitud Eje: 150,,DAUER,Parámetro: Valor,Estria 1: 16,,,,,,,,,,,,,,,,,,,,,,,,
EI-0004,Eje Intermedio,,,,,,Parámetro: Valor,Diametro Mayor: 121.0,Estria 2: 37.0,Longitud Eje: 357.5,,DAUER,Parámetro: Valor,Diametro Mayor: 121.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0005,Eje Intermedio,,,,,,Parámetro: Valor,Estria 1: 27.0,Estria 2: 27.0,Longitud Eje: 378.5,,DAUER,Parámetro: Valor,Estria 1: 27.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0006,Eje Intermedio,,,,,,Parámetro: Valor,Estria 1: 25,Estria 2: 27,Longitud Eje: 386,,DAUER,Parámetro: Valor,Estria 1: 25,,,,,,,,,,,,,,,,,,,,,,,,
EI-0007,Eje Intermedio,,,,,,Parámetro: Valor,Estria 1: 29.0,Estria 2: 37.0,Longitud Eje: 153.5,,DAUER,Parámetro: Valor,Estria 1: 29.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0008,Eje Intermedio,,,,,,Parámetro: Valor,Diametro Mayor: 121,Estria 2: 26,Longitud Eje: 266,,DAUER,Parámetro: Valor,Diametro Mayor: 121,,,,,,,,,,,,,,,,,,,,,,,,
EI-0009,Eje Intermedio,Volkswagen,Sharan,1996 - 2010,1.9 TDI,,Parámetro: Valor,Estria 1: 26.0,Estria 2: 37.0,Longitud Eje: 129.5,,DAUER,Parámetro: Valor,Estria 1: 26.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0009,Eje Intermedio,Volkswagen,Sharan,1996 - 2010,2.8 V6,,Parámetro: Valor,Estria 1: 26.0,Estria 2: 37.0,Longitud Eje: 129.5,,DAUER,Parámetro: Valor,Estria 1: 26.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0009,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 26.0,Estria 2: 37.0,Longitud Eje: 129.5,,DAUER,Parámetro: Valor,Estria 1: 26.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0010,Eje Intermedio,Honda,Accord,2003 - 2011,2.2,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0010,Eje Intermedio,Honda,Accord,2003 - 2011,2.4,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0010,Eje Intermedio,Honda,Accord,2003 - 2011,3,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0010,Eje Intermedio,Honda,Accord,2003 - 2011,3.5,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0010,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0011,Eje Intermedio,Mercedes Benz,Clase C,,,,Parámetro: Valor,Estria 1: 34.0,Estria 2: 27.0,Longitud Eje: 504.5,,DAUER,Parámetro: Valor,Estria 1: 34.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0011,Eje Intermedio,Mercedes Benz,Clase E,,,,Parámetro: Valor,Estria 1: 34.0,Estria 2: 27.0,Longitud Eje: 504.5,,DAUER,Parámetro: Valor,Estria 1: 34.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0011,Eje Intermedio,Mercedes Benz,Clase S,,,,Parámetro: Valor,Estria 1: 34.0,Estria 2: 27.0,Longitud Eje: 504.5,,DAUER,Parámetro: Valor,Estria 1: 34.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0011,Eje Intermedio,Mercedes Benz,GLK,,,,Parámetro: Valor,Estria 1: 34.0,Estria 2: 27.0,Longitud Eje: 504.5,,DAUER,Parámetro: Valor,Estria 1: 34.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0011,Eje Intermedio,Marca,Modelo,Año,,,Parámetro: Valor,Estria 1: 34.0,Estria 2: 27.0,Longitud Eje: 504.5,,DAUER,Parámetro: Valor,Estria 1: 34.0,,,,,,,,,,,,,,,,,,,,,,,,
EI-0012,Eje Intermedio,Mercedes Benz,CLA,2011 - 2019,,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 540,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0012,Eje Intermedio,Mercedes Benz,Clase A,2011 - 2019,,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 540,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0012,Eje Intermedio,Mercedes Benz,Clase B,2011 - 2019,,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 540,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0012,Eje Intermedio,Marca,Modelo,Año,,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 540,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0013,Eje Intermedio,Honda,CR-V,2007 - 2011,2.4,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0013,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0014,Eje Intermedio,Honda,Accord,2003 - 2011,2.4,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0014,Eje Intermedio,Honda,CR-V,2003 - 2011,2.4,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0014,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 27,Estria 2: 27,Longitud Eje: 443,,DAUER,Parámetro: Valor,Estria 1: 27,,,,,,,,,,,,,,,,,,,,,,,,
EI-0015,Eje Intermedio,Honda,City,2009 - 2012,1.5,,Parámetro: Valor,Estria 1: 25,Estria 2: 27,Longitud Eje: 360,,DAUER,Parámetro: Valor,Estria 1: 25,,,,,,,,,,,,,,,,,,,,,,,,
EI-0015,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Estria 1: 25,Estria 2: 27,Longitud Eje: 360,,DAUER,Parámetro: Valor,Estria 1: 25,,,,,,,,,,,,,,,,,,,,,,,,
EI-0016,Eje Intermedio,Volkswagen,Sharan,1996 - 2010,1.9 TDI,,Parámetro: Valor,Diametro Mayor: 114,Estria 2: 26,Longitud Eje: 289,,DAUER,Parámetro: Valor,Diametro Mayor: 114,,,,,,,,,,,,,,,,,,,,,,,,
EI-0016,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Diametro Mayor: 114,Estria 2: 26,Longitud Eje: 289,,DAUER,Parámetro: Valor,Diametro Mayor: 114,,,,,,,,,,,,,,,,,,,,,,,,
EI-0017,Eje Intermedio,Volkswagen,Sharan,1996 - 2010,1.9 TDI,,Parámetro: Valor,Diametro Mayor: 114,Estria 2: 26,Longitud Eje: 289,,DAUER,Parámetro: Valor,Diametro Mayor: 114,,,,,,,,,,,,,,,,,,,,,,,,
EI-0017,Eje Intermedio,Marca,Modelo,Año,Versión,,Parámetro: Valor,Diametro Mayor: 114,Estria 2: 26,Longitud Eje: 289,,DAUER,Parámetro: Valor,Diametro Mayor: 114,,,,,,,,,,,,,,,,,,,,,,,,
EI-0018,Eje Intermedio,Ford,Ranger,,,,Parámetro: Valor,Estria 1: 29,Estria 2: 29,Longitud Eje: 507,Lado: Derecho,DAUER,,Parámetro: Valor,,,,,,,,,,,,,,,,,,,,,,,,
EI-0018,Eje Intermedio,Marca,Modelo,Año,,,Parámetro: Valor,Estria 1: 29,Estria 2: 29,Longitud Eje: 507,Lado: Derecho,DAUER,,Parámetro: Valor,,,,,,,,,,,,,,,,,,,,,,,,
EI-0019,Eje Intermedio,Dodge,Ram,,,,Parámetro: Valor,Estrias 1 Eje Chico: 29,Estrias 2 Eje Chico: 37,Longitud Eje Chico: 154,Dientes Eje Largo: 16,DAUER,Estrias Eje Largo: 29,Longitud Eje Largo: 292,,,,,,,,,,,,,,,,,,,,,,,,
EI-0019,Eje Intermedio,Marca,Modelo,Año,,,Parámetro: Valor,Estrias 1 Eje Chico: 29,Estrias 2 Eje Chico: 37,Longitud Eje Chico: 154,Dientes Eje Largo: 16,DAUER,Estrias Eje Largo: 29,Longitud Eje Largo: 292,,,,,,,,,,,,,,,,,,,,,,,,
JCA-0058,Juntas Cardánicas,,,,,,Parámetro: Valor,Estrias Internas: 26,Diámetro JH: 107,Altura JH: 35.5,Diámetro Circunferencia: 91,DAUER,Rosca Agujeros: 8.5,Lado: Derecho/Izquierdo,,,,,,,,,,,,,,,,,,,,,,,,
JCA-0252,Juntas Cardánicas,,,,,,Parámetro: Valor,Estrias Internas: 24,Diámetro JH: 78,Altura JH: 23.5,Diámetro Circunferencia: 66,DAUER,Rosca Agujeros: 8.5,Lado: Derecho/Izquierdo,,,,,,,,,,,,,,,,,,,,,,,,
JCA-0302,Juntas Cardánicas,,,,,,Parámetro: Valor,Estrías Lado Caja: 16+1,Estrías Lado Palier: 22,Diámetro Eje: 76,Diámetro JH: 84,DAUER,Altura JH: 119,Altura Punta de Eje: 64,,,,,,,,,,,,,,,,,,,,,,,,
JCA-0308,Juntas Cardánicas,,,,,,Parámetro: Valor,Estrias Internas: 26,Diámetro JH: 104,Altura JH: 31.5,Diámetro Circunferencia: 88,DAUER,Rosca Agujeros: 8.5,Lado: Derecho/Izquierdo,,,,,,,,,,,,,,,,,,,,,,,,
JCA-0452,Juntas Cardánicas,,,,,,Parámetro: Valor,Estrias Internas: 25,Diámetro JH: 100,Altura JH: 30,Diámetro Circunferencia: 86,DAUER,Rosca Agujeros: 8.5,Lado: Derecho/Izquierdo,,,,,,,,,,,,,,,,,,,,,,,,
JCA-0453,Juntas Cardánicas,,,,,,Parámetro: Valor,Estrias Internas: 25,Diámetro JH: 100,Altura JH: 40,Diámetro Circunferencia: 86,DAUER,Rosca Agujeros: 8.5,Lado: Derecho/Izquierdo,,,,,,,,,,,,,,,,,,,,,,,,
JHCA-0002,Juntas Homocineticas Deslizantes,Volkswagen,Gacel,1983 - 1993,1.6 GL,,"Parámetro: Valor | Estrias Internas: 33 | Diámetro JH: 94 | Altura JH: 32 | Diámetro Circunferencia Agujeros: 78 | Rosca Agujeros: 8.5 | Peso: 1,8 kg | Dimensiones: 10,5 × 10,5 × 17,5 cm | Lado: Derecho/Izquierdo | Diámetro Junta Homocinética: 94",,Parámetro: Valor,https://www.dauer.com.ar/wp-content/uploads/2021/05/LC_002_001-2.jpg,https://www.dauer.com.ar/producto/jhca-0002/,DAUER,Detalles del Producto,Juntas Homocineticas Deslizantes,,33,,,,,,,,94,94,,32,,78,8.5,,,,,,Derecho/Izquierdo,"1,8 kg","10,5 × 10,5 × 17,5 cm"
JHCA-0002,Juntas Homocineticas Deslizantes,Volkswagen,Gacel,1987 - 1994,1.8 GS-GLS-GTS,,"Parámetro: Valor | Estrias Internas: 33 | Diámetro JH: 94 | Altura JH: 32 | Diámetro Circunferencia Agujeros: 78 | Rosca Agujeros: 8.5 | Peso: 1,8 kg | Dimensiones: 10,5 × 10,5 × 17,5 cm | Lado: Derecho/Izquierdo | Diámetro Junta Homocinética: 94",,Parámetro: Valor,https://www.dauer.com.ar/wp-content/uploads/2021/05/LC_002_001-2.jpg,https://www.dauer.com.ar/producto/jhca-0002/,DAUER,Detalles del Producto,Juntas Homocineticas Deslizantes,,33,,,,,,,,94,94,,32,,78,8.5,,,,,,Derecho/Izquierdo,"1,8 kg","10,5 × 10,5 × 17,5 cm"
JHCA-0002,Juntas Homocineticas Deslizantes,Volkswagen,Gacel,1992 - 1993,1.6 GLD,,"Parámetro: Valor | Estrias Internas: 33 | Diámetro JH: 94 | Altura JH: 32 | Diámetro Circunferencia Agujeros: 78 | Rosca Agujeros: 8.5 | Peso: 1,8 kg | Dimensiones: 10,5 × 10,5 × 17,5 cm | Lado: Derecho/Izquierdo | Diámetro Junta Homocinética: 94",,Parámetro: Valor,https://www.dauer.com.ar/wp-content/uploads/2021/05/LC_002_001-2.jpg,https://www.dauer.com.ar/producto/jhca-0002/,DAUER,Detalles del Producto,Juntas Homocineticas Deslizantes,,33,,,,,,,,94,94,,32,,78,8.5,,,,,,Derecho/Izquierdo,"1,8 kg","10,5 × 10,5 × 17,5 cm"
